state_code,district_number,rep_name,rep_audio_url
CA,46,J  Correa,/n400-audio/State/California/House of rep/46th/J__Correa.mp3
CA,47,Dave Min,/n400-audio/State/California/House of rep/47th/Dave_Min.mp3
CA,48,Darrell Issa,/n400-audio/State/California/House of rep/48th/Darrell_Issa.mp3
CA,49,Mike Levin,/n400-audio/State/California/House of rep/49th/Mike_Levin.mp3
CA,50,Scott Peters,/n400-audio/State/California/House of rep/50th/Scott_Peters.mp3
CA,51,Sara Jacobs,/n400-audio/State/California/House of rep/51st/Sara_Jacobs.mp3
CA,52,Juan Vargas,/n400-audio/State/California/House of rep/52nd/Juan_Vargas.mp3
CO,1,Diana DeGette,/n400-audio/State/Colorado/House of rep/1st/Diana_DeGette.mp3
CO,2,Joe Neguse,/n400-audio/State/Colorado/House of rep/2nd/Joe_Neguse.mp3
CO,3,Jeff Hurd,/n400-audio/State/Colorado/House of rep/3rd/Jeff_Hurd.mp3
CO,4,Lauren Boebert,/n400-audio/State/Colorado/House of rep/4th/Lauren_Boebert.mp3
CO,5,Jeff Crank,/n400-audio/State/Colorado/House of rep/5th/Jeff_Crank.mp3
CO,6,Jason Crow,/n400-audio/State/Colorado/House of rep/6th/Jason_Crow.mp3
CO,7,Brittany Pettersen,/n400-audio/State/Colorado/House of rep/7th/Brittany_Pettersen.mp3
CO,8,Gabe Evans,/n400-audio/State/Colorado/House of rep/8th/Gabe_Evans.mp3
CT,1,John Larson,/n400-audio/State/Connecticut/House of rep/1st/John_Larson.mp3
CT,2,Joe Courtney,/n400-audio/State/Connecticut/House of rep/2nd/Joe_Courtney.mp3
CT,3,Rosa DeLauro,/n400-audio/State/Connecticut/House of rep/3rd/Rosa_DeLauro.mp3
CT,4,James Himes,/n400-audio/State/Connecticut/House of rep/4th/James_Himes.mp3
CT,5,Jahana Hayes,/n400-audio/State/Connecticut/House of rep/5th/Jahana_Hayes.mp3
DC,0,Eleanor Norton,/n400-audio/State/District%20of%20Columbia/House of rep/Delegate/Eleanor_Norton.mp3
DE,0,Sarah McBride,/n400-audio/State/Delaware/House of rep/At_Large/Sarah_McBride.mp3
FL,1,Jimmy Patronis,/n400-audio/State/Florida/House of rep/1st/Jimmy_Patronis.mp3
FL,2,Neal Dunn,/n400-audio/State/Florida/House of rep/2nd/Neal_Dunn.mp3
FL,3,Kat Cammack,/n400-audio/State/Florida/House of rep/3rd/Kat_Cammack.mp3
FL,4,Aaron Bean,/n400-audio/State/Florida/House of rep/4th/Aaron_Bean.mp3
FL,5,John Rutherford,/n400-audio/State/Florida/House of rep/5th/John_Rutherford.mp3
FL,6,Randy Fine,/n400-audio/State/Florida/House of rep/6th/Randy_Fine.mp3
FL,7,Cory Mills,/n400-audio/State/Florida/House of rep/7th/Cory_Mills.mp3
FL,8,Mike Haridopolos,/n400-audio/State/Florida/House of rep/8th/Mike_Haridopolos.mp3
FL,9,Darren Soto,/n400-audio/State/Florida/House of rep/9th/Darren_Soto.mp3
FL,10,Maxwell Frost,/n400-audio/State/Florida/House of rep/10th/Maxwell_Frost.mp3
FL,11,Daniel Webster,/n400-audio/State/Florida/House of rep/11th/Daniel_Webster.mp3
FL,12,Gus Bilirakis,/n400-audio/State/Florida/House of rep/12th/Gus_Bilirakis.mp3
FL,13,Anna Paulina Luna,/n400-audio/State/Florida/House of rep/13th/Anna_Paulina_Luna.mp3
FL,14,Kathy Castor,/n400-audio/State/Florida/House of rep/14th/Kathy_Castor.mp3
FL,15,Laurel Lee,/n400-audio/State/Florida/House of rep/15th/Laurel_Lee.mp3
FL,16,Vern Buchanan,/n400-audio/State/Florida/House of rep/16th/Vern_Buchanan.mp3
FL,17,W  Steube,/n400-audio/State/Florida/House of rep/17th/W__Steube.mp3
FL,18,Scott Franklin,/n400-audio/State/Florida/House of rep/18th/Scott_Franklin.mp3
FL,19,Byron Donalds,/n400-audio/State/Florida/House of rep/19th/Byron_Donalds.mp3
FL,20,Sheila Cherfilus-McCormick,/n400-audio/State/Florida/House of rep/20th/Sheila_Cherfilus-McCormick.mp3
FL,21,Brian Mast,/n400-audio/State/Florida/House of rep/21st/Brian_Mast.mp3
FL,22,Lois Frankel,/n400-audio/State/Florida/House of rep/22nd/Lois_Frankel.mp3
FL,23,Jared Moskowitz,/n400-audio/State/Florida/House of rep/23rd/Jared_Moskowitz.mp3
FL,24,Frederica Wilson,/n400-audio/State/Florida/House of rep/24th/Frederica_Wilson.mp3
FL,25,Debbie Wasserman Schultz,/n400-audio/State/Florida/House of rep/25th/Debbie_Wasserman_Schultz.mp3
FL,26,Mario Diaz-Balart,/n400-audio/State/Florida/House of rep/26th/Mario_Diaz-Balart.mp3
FL,27,Maria Salazar,/n400-audio/State/Florida/House of rep/27th/Maria_Salazar.mp3
FL,28,Carlos Gimenez,/n400-audio/State/Florida/House of rep/28th/Carlos_Gimenez.mp3
GA,1,Earl Carter,/n400-audio/State/Georgia/House of rep/1st/Earl_Carter.mp3
GA,2,Sanford Bishop,/n400-audio/State/Georgia/House of rep/2nd/Sanford_Bishop.mp3
GA,3,Brian Jack,/n400-audio/State/Georgia/House of rep/3rd/Brian_Jack.mp3
GA,4,Henry Johnson,/n400-audio/State/Georgia/House of rep/4th/Henry_Johnson.mp3
GA,5,Nikema Williams,/n400-audio/State/Georgia/House of rep/5th/Nikema_Williams.mp3
GA,6,Lucy McBath,/n400-audio/State/Georgia/House of rep/6th/Lucy_McBath.mp3
GA,7,Richard McCormick,/n400-audio/State/Georgia/House of rep/7th/Richard_McCormick.mp3
GA,8,Austin Scott,/n400-audio/State/Georgia/House of rep/8th/Austin_Scott.mp3
GA,9,Andrew Clyde,/n400-audio/State/Georgia/House of rep/9th/Andrew_Clyde.mp3
GA,10,Mike Collins,/n400-audio/State/Georgia/House of rep/10th/Mike_Collins.mp3
GA,11,Barry Loudermilk,/n400-audio/State/Georgia/House of rep/11th/Barry_Loudermilk.mp3
GA,12,Rick Allen,/n400-audio/State/Georgia/House of rep/12th/Rick_Allen.mp3
GA,13,David Scott,/n400-audio/State/Georgia/House of rep/13th/David_Scott.mp3
GA,14,Clay Fuller,/n400-audio/State/Georgia/House of rep/14th/Clay_Fuller.mp3
GU,0,James Moylan,/n400-audio/State/Guam/House of rep/Delegate/James_Moylan.mp3
HI,1,Ed Case,/n400-audio/State/Hawaii/House of rep/1st/Ed_Case.mp3
HI,2,Jill Tokuda,/n400-audio/State/Hawaii/House of rep/2nd/Jill_Tokuda.mp3
IA,1,Mariannette Miller-Meeks,/n400-audio/State/Iowa/House of rep/1st/Mariannette_Miller-Meeks.mp3
