state_code,district_number,rep_name,rep_audio_url
NY,7,Nydia Velazquez,/n400-audio/State/New%20York/House of rep/7th/Nydia_Velazquez.mp3
NY,8,Hakeem Jeffries,/n400-audio/State/New%20York/House of rep/8th/Hakeem_Jeffries.mp3
NY,9,Yvette Clarke,/n400-audio/State/New%20York/House of rep/9th/Yvette_Clarke.mp3
NY,10,Daniel Goldman,/n400-audio/State/New%20York/House of rep/10th/Daniel_Goldman.mp3
NY,11,Nicole Malliotakis,/n400-audio/State/New%20York/House of rep/11th/Nicole_Malliotakis.mp3
NY,12,Jerrold Nadler,/n400-audio/State/New%20York/House of rep/12th/Jerrold_Nadler.mp3
NY,13,Adriano Espaillat,/n400-audio/State/New%20York/House of rep/13th/Adriano_Espaillat.mp3
NY,14,Alexandria Ocasio-Cortez,/n400-audio/State/New%20York/House of rep/14th/Alexandria_Ocasio-Cortez.mp3
NY,15,Ritchie Torres,/n400-audio/State/New%20York/House of rep/15th/Ritchie_Torres.mp3
NY,16,George Latimer,/n400-audio/State/New%20York/House of rep/16th/George_Latimer.mp3
NY,17,Michael Lawler,/n400-audio/State/New%20York/House of rep/17th/Michael_Lawler.mp3
NY,18,Patrick Ryan,/n400-audio/State/New%20York/House of rep/18th/Patrick_Ryan.mp3
NY,19,Josh Riley,/n400-audio/State/New%20York/House of rep/19th/Josh_Riley.mp3
NY,20,Paul Tonko,/n400-audio/State/New%20York/House of rep/20th/Paul_Tonko.mp3
NY,21,Elise Stefanik,/n400-audio/State/New%20York/House of rep/21st/Elise_Stefanik.mp3
NY,22,John Mannion,/n400-audio/State/New%20York/House of rep/22nd/John_Mannion.mp3
NY,23,Nicholas Langworthy,/n400-audio/State/New%20York/House of rep/23rd/Nicholas_Langworthy.mp3
NY,24,Claudia Tenney,/n400-audio/State/New%20York/House of rep/24th/Claudia_Tenney.mp3
NY,25,Joseph Morelle,/n400-audio/State/New%20York/House of rep/25th/Joseph_Morelle.mp3
NY,26,Timothy Kennedy,/n400-audio/State/New%20York/House of rep/26th/Timothy_Kennedy.mp3
OH,1,Greg Landsman,/n400-audio/State/Ohio/House of rep/1st/Greg_Landsman.mp3
OH,2,David Taylor,/n400-audio/State/Ohio/House of rep/2nd/David_Taylor.mp3
OH,3,Joyce Beatty,/n400-audio/State/Ohio/House of rep/3rd/Joyce_Beatty.mp3
OH,4,Jim Jordan,/n400-audio/State/Ohio/House of rep/4th/Jim_Jordan.mp3
OH,5,Robert Latta,/n400-audio/State/Ohio/House of rep/5th/Robert_Latta.mp3
OH,6,Michael A  Rulli,/n400-audio/State/Ohio/House of rep/6th/Michael_A__Rulli.mp3
OH,7,Max Miller,/n400-audio/State/Ohio/House of rep/7th/Max_Miller.mp3
OH,8,Warren Davidson,/n400-audio/State/Ohio/House of rep/8th/Warren_Davidson.mp3
OH,9,Marcy Kaptur,/n400-audio/State/Ohio/House of rep/9th/Marcy_Kaptur.mp3
OH,10,Michael Turner,/n400-audio/State/Ohio/House of rep/10th/Michael_Turner.mp3
OH,11,Shontel Brown,/n400-audio/State/Ohio/House of rep/11th/Shontel_Brown.mp3
OH,12,Troy Balderson,/n400-audio/State/Ohio/House of rep/12th/Troy_Balderson.mp3
OH,13,Emilia Sykes,/n400-audio/State/Ohio/House of rep/13th/Emilia_Sykes.mp3
OH,14,David Joyce,/n400-audio/State/Ohio/House of rep/14th/David_Joyce.mp3
OH,15,Mike Carey,/n400-audio/State/Ohio/House of rep/15th/Mike_Carey.mp3
OK,1,Kevin Hern,/n400-audio/State/Oklahoma/House of rep/1st/Kevin_Hern.mp3
OK,2,Josh Brecheen,/n400-audio/State/Oklahoma/House of rep/2nd/Josh_Brecheen.mp3
OK,3,Frank Lucas,/n400-audio/State/Oklahoma/House of rep/3rd/Frank_Lucas.mp3
OK,4,Tom Cole,/n400-audio/State/Oklahoma/House of rep/4th/Tom_Cole.mp3
OK,5,Stephanie Bice,/n400-audio/State/Oklahoma/House of rep/5th/Stephanie_Bice.mp3
OR,1,Suzanne Bonamici,/n400-audio/State/Oregon/House of rep/1st/Suzanne_Bonamici.mp3
OR,2,Cliff Bentz,/n400-audio/State/Oregon/House of rep/2nd/Cliff_Bentz.mp3
OR,3,Maxine Dexter,/n400-audio/State/Oregon/House of rep/3rd/Maxine_Dexter.mp3
OR,4,Val Hoyle,/n400-audio/State/Oregon/House of rep/4th/Val_Hoyle.mp3
OR,5,Janelle Bynum,/n400-audio/State/Oregon/House of rep/5th/Janelle_Bynum.mp3
OR,6,Andrea Salinas,/n400-audio/State/Oregon/House of rep/6th/Andrea_Salinas.mp3
PA,1,Brian Fitzpatrick,/n400-audio/State/Pennsylvania/House of rep/1st/Brian_Fitzpatrick.mp3
PA,2,Brendan Boyle,/n400-audio/State/Pennsylvania/House of rep/2nd/Brendan_Boyle.mp3
PA,3,Dwight Evans,/n400-audio/State/Pennsylvania/House of rep/3rd/Dwight_Evans.mp3
PA,4,Madeleine Dean,/n400-audio/State/Pennsylvania/House of rep/4th/Madeleine_Dean.mp3
PA,5,Mary Gay Scanlon,/n400-audio/State/Pennsylvania/House of rep/5th/Mary_Gay_Scanlon.mp3
PA,6,Chrissy Houlahan,/n400-audio/State/Pennsylvania/House of rep/6th/Chrissy_Houlahan.mp3
PA,7,Ryan Mackenzie,/n400-audio/State/Pennsylvania/House of rep/7th/Ryan_Mackenzie.mp3
PA,8,Robert Bresnahan,/n400-audio/State/Pennsylvania/House of rep/8th/Robert_Bresnahan.mp3
PA,9,Daniel Meuser,/n400-audio/State/Pennsylvania/House of rep/9th/Daniel_Meuser.mp3
PA,10,Scott Perry,/n400-audio/State/Pennsylvania/House of rep/10th/Scott_Perry.mp3
PA,11,Lloyd Smucker,/n400-audio/State/Pennsylvania/House of rep/11th/Lloyd_Smucker.mp3
PA,12,Summer Lee,/n400-audio/State/Pennsylvania/House of rep/12th/Summer_Lee.mp3
PA,13,John Joyce,/n400-audio/State/Pennsylvania/House of rep/13th/John_Joyce.mp3
PA,14,Guy Reschenthaler,/n400-audio/State/Pennsylvania/House of rep/14th/Guy_Reschenthaler.mp3
PA,15,Glenn Thompson,/n400-audio/State/Pennsylvania/House of rep/15th/Glenn_Thompson.mp3
PA,16,Mike Kelly,/n400-audio/State/Pennsylvania/House of rep/16th/Mike_Kelly.mp3
PA,17,Christopher Deluzio,/n400-audio/State/Pennsylvania/House of rep/17th/Christopher_Deluzio.mp3
PR,0,Pablo Hernandez,/n400-audio/State/Puerto%20Rico/House of rep/Resident_Commissioner/Pablo_Hernandez.mp3
RI,1,Gabe Amo,/n400-audio/State/Rhode%20Island/House of rep/1st/Gabe_Amo.mp3
RI,2,Seth Magaziner,/n400-audio/State/Rhode%20Island/House of rep/2nd/Seth_Magaziner.mp3
SC,1,Nancy Mace,/n400-audio/State/South%20Carolina/House of rep/1st/Nancy_Mace.mp3
SC,2,Joe Wilson,/n400-audio/State/South%20Carolina/House of rep/2nd/Joe_Wilson.mp3
SC,3,Sheri Biggs,/n400-audio/State/South%20Carolina/House of rep/3rd/Sheri_Biggs.mp3
SC,4,William Timmons,/n400-audio/State/South%20Carolina/House of rep/4th/William_Timmons.mp3
SC,5,Ralph Norman,/n400-audio/State/South%20Carolina/House of rep/5th/Ralph_Norman.mp3
SC,6,James Clyburn,/n400-audio/State/South%20Carolina/House of rep/6th/James_Clyburn.mp3
SC,7,Russell Fry,/n400-audio/State/South%20Carolina/House of rep/7th/Russell_Fry.mp3
SD,0,Dusty Johnson,/n400-audio/State/South%20Dakota/House of rep/At_Large/Dusty_Johnson.mp3
TN,1,Diana Harshbarger,/n400-audio/State/Tennessee/House of rep/1st/Diana_Harshbarger.mp3
TN,2,Tim Burchett,/n400-audio/State/Tennessee/House of rep/2nd/Tim_Burchett.mp3
TN,3,Charles Fleischmann,/n400-audio/State/Tennessee/House of rep/3rd/Charles_Fleischmann.mp3
TN,4,Scott DesJarlais,/n400-audio/State/Tennessee/House of rep/4th/Scott_DesJarlais.mp3
TN,5,Andrew Ogles,/n400-audio/State/Tennessee/House of rep/5th/Andrew_Ogles.mp3
TN,6,John Rose,/n400-audio/State/Tennessee/House of rep/6th/John_Rose.mp3
TN,7,Matt Van Epps,/n400-audio/State/Tennessee/House of rep/7th/Matt_Van_Epps.mp3
TN,8,David Kustoff,/n400-audio/State/Tennessee/House of rep/8th/David_Kustoff.mp3
TN,9,Steve Cohen,/n400-audio/State/Tennessee/House of rep/9th/Steve_Cohen.mp3
TX,1,Nathaniel Moran,/n400-audio/State/Texas/House of rep/1st/Nathaniel_Moran.mp3
TX,2,Dan Crenshaw,/n400-audio/State/Texas/House of rep/2nd/Dan_Crenshaw.mp3
TX,3,Keith Self,/n400-audio/State/Texas/House of rep/3rd/Keith_Self.mp3
TX,4,Pat Fallon,/n400-audio/State/Texas/House of rep/4th/Pat_Fallon.mp3
TX,5,Lance Gooden,/n400-audio/State/Texas/House of rep/5th/Lance_Gooden.mp3
TX,6,Jake Ellzey,/n400-audio/State/Texas/House of rep/6th/Jake_Ellzey.mp3
TX,7,Lizzie Fletcher,/n400-audio/State/Texas/House of rep/7th/Lizzie_Fletcher.mp3
TX,8,Morgan Luttrell,/n400-audio/State/Texas/House of rep/8th/Morgan_Luttrell.mp3
TX,9,Al Green,/n400-audio/State/Texas/House of rep/9th/Al_Green.mp3
TX,10,Michael McCaul,/n400-audio/State/Texas/House of rep/10th/Michael_McCaul.mp3
TX,11,August Pfluger,/n400-audio/State/Texas/House of rep/11th/August_Pfluger.mp3
TX,12,Craig Goldman,/n400-audio/State/Texas/House of rep/12th/Craig_Goldman.mp3
TX,13,Ronny Jackson,/n400-audio/State/Texas/House of rep/13th/Ronny_Jackson.mp3
TX,14,Randy Weber,/n400-audio/State/Texas/House of rep/14th/Randy_Weber.mp3
TX,15,Monica De La Cruz,/n400-audio/State/Texas/House of rep/15th/Monica_De_La_Cruz.mp3
TX,16,Veronica Escobar,/n400-audio/State/Texas/House of rep/16th/Veronica_Escobar.mp3
TX,17,Pete Sessions,/n400-audio/State/Texas/House of rep/17th/Pete_Sessions.mp3
TX,18,Christian Menefee,/n400-audio/State/Texas/House of rep/18th/Christian_Menefee.mp3
TX,19,Jodey Arrington,/n400-audio/State/Texas/House of rep/19th/Jodey_Arrington.mp3
TX,20,Joaquin Castro,/n400-audio/State/Texas/House of rep/20th/Joaquin_Castro.mp3
TX,21,Chip Roy,/n400-audio/State/Texas/House of rep/21st/Chip_Roy.mp3
TX,22,Troy Nehls,/n400-audio/State/Texas/House of rep/22nd/Troy_Nehls.mp3
TX,23,Tony Gonzales,/n400-audio/State/Texas/House of rep/23rd/Tony_Gonzales.mp3
TX,24,Beth Van Duyne,/n400-audio/State/Texas/House of rep/24th/Beth_Van_Duyne.mp3
TX,25,Roger Williams,/n400-audio/State/Texas/House of rep/25th/Roger_Williams.mp3
TX,26,Brandon Gill,/n400-audio/State/Texas/House of rep/26th/Brandon_Gill.mp3
TX,27,Michael Cloud,/n400-audio/State/Texas/House of rep/27th/Michael_Cloud.mp3
TX,28,Henry Cuellar,/n400-audio/State/Texas/House of rep/28th/Henry_Cuellar.mp3
TX,29,Sylvia Garcia,/n400-audio/State/Texas/House of rep/29th/Sylvia_Garcia.mp3
TX,30,Jasmine Crockett,/n400-audio/State/Texas/House of rep/30th/Jasmine_Crockett.mp3
TX,31,John Carter,/n400-audio/State/Texas/House of rep/31st/John_Carter.mp3
TX,32,Julie Johnson,/n400-audio/State/Texas/House of rep/32nd/Julie_Johnson.mp3
TX,33,Marc Veasey,/n400-audio/State/Texas/House of rep/33rd/Marc_Veasey.mp3
TX,34,Vicente Gonzalez,/n400-audio/State/Texas/House of rep/34th/Vicente_Gonzalez.mp3
TX,35,Greg Casar,/n400-audio/State/Texas/House of rep/35th/Greg_Casar.mp3
TX,36,Brian Babin,/n400-audio/State/Texas/House of rep/36th/Brian_Babin.mp3
TX,37,Lloyd Doggett,/n400-audio/State/Texas/House of rep/37th/Lloyd_Doggett.mp3
TX,38,Wesley Hunt,/n400-audio/State/Texas/House of rep/38th/Wesley_Hunt.mp3
UT,1,Blake Moore,/n400-audio/State/Utah/House of rep/1st/Blake_Moore.mp3
UT,2,Celeste Maloy,/n400-audio/State/Utah/House of rep/2nd/Celeste_Maloy.mp3
UT,3,Mike Kennedy,/n400-audio/State/Utah/House of rep/3rd/Mike_Kennedy.mp3
UT,4,Burgess Owens,/n400-audio/State/Utah/House of rep/4th/Burgess_Owens.mp3
VA,1,Robert Wittman,/n400-audio/State/Virginia/House of rep/1st/Robert_Wittman.mp3
VA,2,Jennifer Kiggans,/n400-audio/State/Virginia/House of rep/2nd/Jennifer_Kiggans.mp3
VA,3,Robert Scott,/n400-audio/State/Virginia/House of rep/3rd/Robert_Scott.mp3
VA,4,Jennifer McClellan,/n400-audio/State/Virginia/House of rep/4th/Jennifer_McClellan.mp3
VA,5,John McGuire,/n400-audio/State/Virginia/House of rep/5th/John_McGuire.mp3
VA,6,Ben Cline,/n400-audio/State/Virginia/House of rep/6th/Ben_Cline.mp3
VA,7,Eugene Vindman,/n400-audio/State/Virginia/House of rep/7th/Eugene_Vindman.mp3
VA,8,Donald Beyer,/n400-audio/State/Virginia/House of rep/8th/Donald_Beyer.mp3
VA,9,H  Griffith,/n400-audio/State/Virginia/House of rep/9th/H__Griffith.mp3
VA,10,Suhas Subramanyam,/n400-audio/State/Virginia/House of rep/10th/Suhas_Subramanyam.mp3
VA,11,James Walkinshaw,/n400-audio/State/Virginia/House of rep/11th/James_Walkinshaw.mp3
VI,0,Stacey Plaskett,/n400-audio/State/Virgin%20Islands/House of rep/Delegate/Stacey_Plaskett.mp3
VT,0,Becca Balint,/n400-audio/State/Vermont/House of rep/At_Large/Becca_Balint.mp3
WA,1,Suzan DelBene,/n400-audio/State/Washington/House of rep/1st/Suzan_DelBene.mp3
WA,2,Rick Larsen,/n400-audio/State/Washington/House of rep/2nd/Rick_Larsen.mp3
WA,3,Marie Perez,/n400-audio/State/Washington/House of rep/3rd/Marie_Perez.mp3
WA,4,Dan Newhouse,/n400-audio/State/Washington/House of rep/4th/Dan_Newhouse.mp3
WA,5,Michael Baumgartner,/n400-audio/State/Washington/House of rep/5th/Michael_Baumgartner.mp3
WA,6,Emily Randall,/n400-audio/State/Washington/House of rep/6th/Emily_Randall.mp3
WA,7,Pramila Jayapal,/n400-audio/State/Washington/House of rep/7th/Pramila_Jayapal.mp3
WA,8,Kim Schrier,/n400-audio/State/Washington/House of rep/8th/Kim_Schrier.mp3
WA,9,Adam Smith,/n400-audio/State/Washington/House of rep/9th/Adam_Smith.mp3
WA,10,Marilyn Strickland,/n400-audio/State/Washington/House of rep/10th/Marilyn_Strickland.mp3
WI,1,Bryan Steil,/n400-audio/State/Wisconsin/House of rep/1st/Bryan_Steil.mp3
WI,2,Mark Pocan,/n400-audio/State/Wisconsin/House of rep/2nd/Mark_Pocan.mp3
WI,3,Derrick Van Orden,/n400-audio/State/Wisconsin/House of rep/3rd/Derrick_Van_Orden.mp3
WI,4,Gwen Moore,/n400-audio/State/Wisconsin/House of rep/4th/Gwen_Moore.mp3
WI,5,Scott Fitzgerald,/n400-audio/State/Wisconsin/House of rep/5th/Scott_Fitzgerald.mp3
WI,6,Glenn Grothman,/n400-audio/State/Wisconsin/House of rep/6th/Glenn_Grothman.mp3
WI,7,Thomas Tiffany,/n400-audio/State/Wisconsin/House of rep/7th/Thomas_Tiffany.mp3
WI,8,Tony Wied,/n400-audio/State/Wisconsin/House of rep/8th/Tony_Wied.mp3
WV,1,Carol Miller,/n400-audio/State/West%20Virginia/House of rep/1st/Carol_Miller.mp3
WV,2,Riley Moore,/n400-audio/State/West%20Virginia/House of rep/2nd/Riley_Moore.mp3
WY,0,Harriet Hageman,/n400-audio/State/Wyoming/House of rep/At_Large/Harriet_Hageman.mp3
